Author,Title,Source,URL,Category,Description,Published Status
"Dioguardi M, Cazzolla AP, Arena C, et al.",Innate Immunity in Children and the Role of ACE2 Expression in SARS-CoV-2 Infection,Pediatr Rep,https://pubmed.ncbi.nlm.nih.gov/34287338/,Clinical Characteristics,To summarize aspects of innate immunity by focusing on the role of ACE2 expression and viral infections in children in modulating the antibody response to SARS-CoV-2 infection. ,published
"Qing X, Zhang Y",Treatment-related adverse events of hydroxychloroquine in COVID-19 patients: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=269018,,,development
"Webster KE, MacKeith S, Philpott C, et al.",Interventions for the prevention of persistent post?COVID?19 olfactory dysfunction,Cochrane Database Syst Rev,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013877.pub2/full,,,development
"McGrowder DA, Miller F, Cross MA, et al.",Abnormal Liver Biochemistry Tests and Acute Liver Injury in COVID-19 Patients: Current Evidence and Potential Pathogenesis,Diseases,https://pubmed.ncbi.nlm.nih.gov/34287285/,Clinical Characteristics,To review the evidence on abnormal liver biochemistry tests in COVID-19 and the possible pathogenesis involved.,published
"Zhou Y, O'Leary TJ",Relative sensitivity of anterior nares and nasopharyngeal swabs for initial detection of SARS-CoV-2 in ambulatory patients: Rapid review and meta-analysis,PLoS One,https://pubmed.ncbi.nlm.nih.gov/34283845/,Diagnostics,To compare the sensitivity of nasal and nasopharyngeal swabs against a composite reference standard for the initial diagnosis of SARS-CoV-2 infection in ambulatory patients.,published
"Ding Y, Ding S, Niu  J, et al.",The Impact of COVID-19 on College Students’ Physical Activity: A Protocol for Systematic Review and Meta Analysis,Research Square,https://www.researchsquare.com/article/rs-715532/v1,,To assess the impact of coronavirus disease 2019 (COVID-19) on college students’ physical activity.,preprint
"Wang J, Sun Y, Cui Y, et al ",Assessment of the effects of Liuzijue Qigong on the lung function of COVID-19 patients during disease recovery: A protocol for systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=269027,,,development
"Xia T, Nie Y, Zhang C",Clinical efficacy and safety of complementary and alternative medicine in patients with COVID-19: a systematic review and network meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=268522,,,development
"Chen CY, Chen WC, Hsu CK",Clinical efficacy and safety of interferon ?- containing treatment in the treatment of COVID-19: A systematic review and meta-analysis of randomized controlled trials,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=269000,,,development
"Espinoza C, Martella D","Cognitive functions and mental health in older people during the covid 19, risk factors and protective factors",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=268836,,,development
"Xie J, Mao N, Fan J",Efficacy and safety of ACEI/ARB in patients with COVID19 combined with kidney disease:a protocol for systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=268701,,,development
"de Carvalho F, Silva JP",Impact of tocilizumab on the clinical aspects of patients with SARS-CoV-2: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=268734,,,development
"Leblebicioglu H, Ulu EMK, Dilek A",Incidental detection of COVID-19 pneumonia on PET/CT studies: systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=268830,,,development
"Scappaticcio L, Maiorino MI, Iorio S, et al.",Thyroid surgery during the COVID-19 pandemic: results from a systematic review,J Endocrinol Invest,https://pubmed.ncbi.nlm.nih.gov/34282552/,Infection Control,To systematically collect the literature data on the characteristics of those thyroid operations performed and to assess the safety/risks associated with thyroid surgery during the COVID-19 pandemic.,published
"Snehota M, Vlckova J, Cizkova K, et al.",Acceptance of a vaccine against COVID-19 - a systematic review of surveys conducted worldwide,Bratisl Lek Listy,https://pubmed.ncbi.nlm.nih.gov/34282618/,Infection Control,To review the evidence on people´s intention to receive a vaccine against COVID-19.,published
"Souza R, de Araújo J, de Aguiar R","A systematic review of IFITM3, FURIN, ACE1 and TNF-alpha genetic variants with susceptibility to SARS-CoV-2 infection, Covid-19 severity and mortality",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=268578,,,development
"Quach HL, Hoang NA, Vogt F",Assessing the effectiveness of digital contact tracing applications for COVID-19: a systematic review of the global evidence,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=268586,,,development
"Tobias D, Speakman J",Body mass index and COVID-19 mortality: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=268980,,,development
"Sobrinho RCS, de Meneses IR, Alves BC, et al ",Critical analysis of structure based-drug design of propolis and their components against coronavirus disease 2019 (COVID-19): a systematic review,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=267016,,,development
"Nawa N, Ishikawa N, Yamazaki J, et al ",Effects of COVID-19 pandemic on family members caring for people with ADHD or ASD,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=267294,,,development
"Jia R, Liang D, Wu Z, et al ",Efficacy and safety of levamisole for patients with COVID-19: a protocol for systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=268483,,,development
"Rao M, Zhang Y",Efficacy and safety of neutralizing monoclonal antibody for COVID-19: a systematic review and meta-analysis,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=265500,,,development
"Jahrami H, Alhaj O, Humood A, et al ","Sleep problems during the COVID-19 pandemic: an updated systematic review, meta-analysis, and meta-regression",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=268440,,,development
"Chen CH, Lai CC, Wang CY, et al",The impact of neutralizing monoclonal antibodies on the outcome of mild or moderate COVID-19 patients: a systematic review and meta-analysis of randomized controlled trial,PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=268377,,,development
"Murali M, Jethwa H, Gumber L, et al","To what extent are different ethnicities represented in recruitment to, enrolment in, follow-up from and reporting of UK-based randomised controlled trials testing COVID-19 vaccines and therapeutic interventions?",PROSPERO,https://www.crd.york.ac.uk/PROSPERO/display_record.php?RecordID=244185,,,development
"Gupta S, Jawanda MK, Taneja N, et al.",A systematic review of Bell's Palsy as the only major neurological manifestation in COVID-19 patients,J Clin Neurosci,https://pubmed.ncbi.nlm.nih.gov/34275565/,Clinical Characteristics,"To evaluate the reported cases of COVID-19 positive patients, presented with Bell's palsy as the only major neurological manifestation, and to investigate the association of SARS-CoV2 and Bell's palsy.",published
"Kulkarni AV, Tevethia HV, Premkumar M, et al.",Impact of COVID-19 on liver transplant recipients-A systematic review and meta-analysis,EClinicalMedicine,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8276632/,Clinical Characteristics,To analyse the outcomes of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection in LT recipients.,published
"Mahmud S, Hossain S, Muyeed A, et al.","The global prevalence of depression, anxiety, stress, and, insomnia and its changes among health professionals during COVID-19 pandemic: A rapid systematic review and meta-analysis",Heliyon,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8261554/,Mental Health,"To provide an overall scenario of the prevalence of depression, anxiety, stress, as well as insomnia and to inspect the changes in these prevalence over time by analyzing the existing evidence during this COVID-19 pandemic.",published
"Kepczynski CM, Genigeski JA, Koski RR, et al.","A systematic review comparing at-home diagnostic tests for SARS-CoV-2: Key points for pharmacy practice, including regulatory information",J Am Pharm Assoc,https://pubmed.ncbi.nlm.nih.gov/34274214/,Diagnostics,"To identify and compare at-home diagnostic tests that have been granted Emergency Use Authorizations (EUAs) and convey details about COVID-19 diagnostic tests, including regulatory information, pertinent to pharmacy practice.",published
"Vai B, Mazza MG, Delli Colli C, et al.","Mental disorders and risk of COVID-19-related mortality, hospitalisation, and intensive care unit admission: a systematic review and meta-analysis",Lancet Psychiatry,https://pubmed.ncbi.nlm.nih.gov/34274033/,Clinical Characteristics,"To assess the specific risks of COVID-19-related mortality, hospitalisation, and intensive care unit (ICU) admission associated with any pre-existing mental disorder, and specific diagnostic categories of mental disorders, and exposure to psychopharmacological drug classes.",published
Cirillo N,Taste alteration in COVID-19: Significant geographical differences exist in the prevalence of the symptom,J Infect Public Health,https://pubmed.ncbi.nlm.nih.gov/34274859/,Clinical Characteristics,To facilitate a timely understanding of the differences in the prevalence of gustatory disturbances (GD) in individuals infected with SARS-CoV-2.,published
"Andrianto, Al-Farabi MJ, Nugraha RA, et al.",Biomarkers of endothelial dysfunction and outcomes in coronavirus disease 2019 (COVID-19) patients: A systematic review and meta-analysis,Microvasc Res,https://pubmed.ncbi.nlm.nih.gov/34273359/,Clinical Characteristics,To assess biomarkers of endothelial cells in patients with COVID-19.,published
"Harder T, Koch J, Vygen-Bonnet S, et al.","Efficacy and effectiveness of COVID-19 vaccines against SARS-CoV-2 infection: interim results of a living systematic review, 1 January to 14 May 2021",Euro Surveill,https://pubmed.ncbi.nlm.nih.gov/34269175/,Infection Control,To assess the extent to which COVID-19 vaccines are able to prevent symptomatic and asymptomatic infections to guide public health recommendations and develop strategies for fully vaccinated people.,published
"Alkofide H, Almohaizeie A, Almuhaini S, et al.",Tocilizumab and Systemic Corticosteroids in the Management of COVID-19 Patients:A Systematic Review and Meta-Analysis,Int J Infect Dis,https://pubmed.ncbi.nlm.nih.gov/34273515/,Candidate Therapeutics,To systematically review the literature on the association between the combination of tocilizumab (TCZ) and systemic corticosteroid therapy (SCT) on outcomes of COVID-19 patients.,published
"Saragih ID, Tonapa SI, Saragih IS, et al.",Global prevalence of mental health problems among healthcare workers during the Covid-19 pandemic: A systematic review and meta-analysis,Int J Nurs Stud,https://pubmed.ncbi.nlm.nih.gov/34271460/,Mental Health,To systematically identify the mental health problems among healthcare workers in various countries during the COVID-19 pandemic.,published
"Maddaloni E, D'Onofrio L, Siena A, et al.",Impact of cardiovascular disease on clinical outcomes in hospitalized patients with Covid-19: a systematic review and meta-analysis,Intern Emerg Med,https://pubmed.ncbi.nlm.nih.gov/34273056/,Clinical Characteristics,To clarify the association of cardiovascular disease with Covid-19 outcomes.,published
"Kim PH, Kim M, Suh CH, et al.",Neuroimaging Findings in Patients with COVID-19: A Systematic Review and Meta-Analysis,Korean J Radiol,https://pubmed.ncbi.nlm.nih.gov/34269530/,Clinical Characteristics,To evaluate the incidence of radiologically demonstrated neurologic complications and detailed neuroimaging findings associated with COVID-19.,published
"van Kessel SAM, Olde Hartman TC, Lucassen PLBJ, et al.",Post-acute and long-COVID-19 symptoms in patients with mild diseases: a systematic review,Fam Pract,https://pubmed.ncbi.nlm.nih.gov/34268556/,Clinical Characteristics,To create an overview of the nature and frequency of persistent symptoms experienced by patients after mild COVID-19 infection.,published
"Rashedi S, Keykhaei M, Pazoki M, et al.",Clinical significance of prognostic nutrition index in hospitalized patients with COVID-19: Results from single-center experience with systematic review and meta-analysis,Nutr Clin Pract,https://pubmed.ncbi.nlm.nih.gov/34270114/,Clinical Characteristics,To ascertain risk indicators of in-hospital mortality and severity as well as to provide a comprehensive systematic review and meta-analysis to investigate the prognostic significance of the prognostic nutrition index (PNI) as a predictor of adverse outcomes in hospitalized coronavirus disease 2019 (COVID-19) patients.,published
"Chivese T, Musa OAH, Hindy G, et al.",Efficacy of chloroquine and hydroxychloroquine in treating COVID-19 infection: A meta-review of systematic reviews and an updated meta-analysis,Travel Med Infect Dis,https://pubmed.ncbi.nlm.nih.gov/34265436/,Candidate Therapeutics,To synthesize findings from systematic reviews and meta-analyses on the efficacy and safety of chloroquine (CQ) and hydroxychloroquine (HCQ) with or without Azithromycin for treating COVID-19.,published
